ifam,ID,gfold,gfold1113
2,1,2,3
2,4,2,3
6,1,4,4
14,1,5,4
16,1,6,2
16,4,6,2
18,1,5,5
18,4,5,5
20,1,2,6
20,4,2,6
22,4,6,3
27,1,5,2
27,4,5,2
28,1,4,6
28,4,4,6
31,4,2,2
36,1,4,6
36,4,4,6
37,1,3,1
37,4,3,1
38,1,6,1
38,4,6,1
40,1,3,6
40,4,3,6
43,1,6,1
43,4,6,1
45,1,1,4
46,1,1,1
46,4,1,1
47,1,5,4
47,4,5,4
51,1,2,1
51,4,2,1
52,1,1,5
52,4,1,5
53,1,4,2
53,4,4,2
54,1,1,2
54,4,1,2
55,1,4,3
55,4,4,3
56,1,6,2
56,4,6,2
58,1,3,1
58,4,3,1
62,1,1,3
62,4,1,3
64,1,5,2
64,4,5,2
66,1,2,3
66,4,2,3
68,1,2,4
69,1,3,3
69,4,3,3
71,1,2,1
71,4,2,1
74,1,1,5
74,4,1,5
77,1,3,3
77,4,3,3
78,1,2,4
79,1,2,3
79,4,2,3
80,1,2,4
80,4,2,4
83,1,5,6
83,4,5,6
84,1,5,2
84,4,5,2
86,1,4,3
86,4,4,3
87,1,1,1
87,4,1,1
88,1,6,4
88,4,6,4
90,4,3,4
94,1,2,2
94,4,2,2
95,1,3,4
95,4,3,4
96,1,4,3
96,4,4,3
97,1,3,2
97,4,3,2
99,1,5,5
99,4,5,5
1618,1,1,3
1622,1,1,1
1622,4,1,1
1623,1,3,5
1623,4,3,5
1624,1,3,1
1624,4,3,1
1627,1,6,4
1627,4,6,4
1629,1,3,2
1629,4,3,2
1630,1,2,6
1630,4,2,6
1631,1,4,2
1631,4,4,2
1632,1,5,6
1632,4,5,6
1633,1,5,2
1633,4,5,2
1634,1,6,6
1634,4,6,6
1635,4,2,6
1639,1,4,2
1639,4,4,2
1640,1,4,6
1640,4,4,6
1644,1,5,2
1644,4,5,2
1645,1,5,3
1645,4,5,3
1647,1,1,5
1647,4,1,5
106,1,5,1
106,4,5,1
1649,1,4,1
1649,4,4,1
1653,1,4,2
1653,4,4,2
11067,1,5,5
11067,4,5,5
108,1,3,6
108,4,3,6
110,1,3,5
110,4,3,5
112,1,1,5
114,1,5,5
114,4,5,5
115,1,5,2
115,4,5,2
117,1,2,2
117,4,2,2
119,1,5,5
119,4,5,5
120,1,3,6
120,4,3,6
121,1,3,2
121,4,3,2
123,1,5,5
123,4,5,5
125,4,4,4
126,4,3,4
129,1,1,1
129,4,1,1
130,1,6,1
130,4,6,1
131,1,6,2
131,4,6,2
132,4,4,3
133,1,6,5
133,4,6,5
134,4,5,4
135,1,2,2
135,4,2,2
136,1,4,3
136,4,4,3
137,1,2,2
137,4,2,2
138,1,6,2
138,4,6,2
139,1,5,3
139,4,5,3
143,1,2,3
143,4,2,3
148,1,2,2
148,4,2,2
149,1,6,3
149,4,6,3
151,1,5,2
151,4,5,2
153,1,5,1
155,1,1,4
155,4,1,4
158,4,1,2
159,1,3,4
159,4,3,4
161,1,2,1
161,4,2,1
163,1,2,2
163,4,2,2
164,1,5,2
164,4,5,2
165,1,3,3
165,4,3,3
166,1,3,1
166,4,3,1
167,1,2,4
167,4,2,4
168,1,3,4
168,4,3,4
170,1,4,1
170,4,4,1
171,1,5,2
171,4,5,2
175,1,4,5
175,4,4,5
182,1,2,4
182,4,2,4
190,1,3,4
190,4,3,4
192,1,2,5
192,4,2,5
193,1,1,4
193,4,1,4
194,1,4,5
194,4,4,5
196,1,2,4
196,4,2,4
203,4,3,2
204,1,1,6
204,4,1,6
209,1,3,5
209,4,3,5
223,1,3,6
223,4,3,6
229,1,2,5
229,4,2,5
230,1,1,5
230,4,1,5
233,1,4,2
233,4,4,2
241,1,5,6
241,4,5,6
242,1,1,6
242,4,1,6
248,1,3,3
250,1,6,3
250,4,6,3
253,1,5,1
253,4,5,1
257,1,5,1
257,4,5,1
261,1,3,6
261,4,3,6
262,1,4,3
262,4,4,3
264,1,6,5
264,4,6,5
266,1,5,5
266,4,5,5
268,1,3,4
268,4,3,4
273,1,4,2
274,4,2,6
275,1,4,1
275,4,4,1
276,1,2,4
276,4,2,4
277,1,5,1
277,4,5,1
280,1,1,1
280,4,1,1
286,1,4,2
286,4,4,2
287,1,3,4
288,1,4,3
288,4,4,3
290,1,6,4
290,4,6,4
291,1,6,5
291,4,6,5
292,1,2,1
292,4,2,1
293,1,4,4
293,4,4,4
299,1,3,4
299,4,3,4
303,1,6,3
303,4,6,3
312,1,2,2
312,4,2,2
313,1,5,5
313,4,5,5
316,4,5,1
317,1,3,3
317,4,3,3
324,1,3,2
324,4,3,2
333,1,4,5
333,4,4,5
338,1,5,6
338,4,5,6
342,1,1,3
342,4,1,3
344,1,1,3
344,4,1,3
353,1,2,5
353,4,2,5
365,1,6,5
365,4,6,5
368,1,4,3
368,4,4,3
369,4,2,2
374,1,3,5
374,4,3,5
382,1,4,6
382,4,4,6
388,1,5,1
388,4,5,1
392,1,5,3
392,4,5,3
394,1,2,2
394,4,2,2
395,1,6,6
395,4,6,6
403,1,1,5
403,4,1,5
406,1,3,2
406,4,3,2
409,1,1,1
409,4,1,1
412,1,1,1
412,4,1,1
413,1,3,2
413,4,3,2
420,1,5,3
420,4,5,3
421,1,3,4
422,1,4,1
422,4,4,1
426,1,6,4
426,4,6,4
428,1,1,1
428,4,1,1
430,1,6,5
430,4,6,5
431,1,5,4
431,4,5,4
435,1,3,4
435,4,3,4
439,1,2,2
439,4,2,2
441,1,4,6
441,4,4,6
442,1,2,4
442,4,2,4
445,1,5,6
445,4,5,6
446,1,1,6
446,4,1,6
447,1,4,2
447,4,4,2
451,1,1,3
451,4,1,3
452,1,2,2
452,4,2,2
453,1,2,4
455,1,6,2
455,4,6,2
457,1,6,5
457,4,6,5
459,1,4,5
459,4,4,5
460,1,4,6
460,4,4,6
462,1,2,3
462,4,2,3
466,1,6,4
466,4,6,4
469,1,6,3
469,4,6,3
470,1,4,2
470,4,4,2
471,1,2,2
474,1,6,4
474,4,6,4
475,1,4,4
475,4,4,4
476,1,5,3
476,4,5,3
477,1,3,3
477,4,3,3
478,1,1,6
478,4,1,6
482,1,4,3
482,4,4,3
487,1,2,5
487,4,2,5
489,1,5,4
489,4,5,4
490,1,6,3
490,4,6,3
492,1,3,4
492,4,3,4
496,1,2,2
496,4,2,2
499,1,1,4
499,4,1,4
500,1,5,1
500,4,5,1
501,1,1,5
501,4,1,5
502,1,3,6
502,4,3,6
503,1,4,6
504,1,4,2
504,4,4,2
506,1,1,1
506,4,1,1
507,1,5,1
507,4,5,1
511,1,1,1
511,4,1,1
512,1,6,2
512,4,6,2
516,1,4,2
516,4,4,2
519,1,5,1
519,4,5,1
520,1,6,2
520,4,6,2
521,1,2,3
521,4,2,3
522,1,6,3
522,4,6,3
523,1,6,6
523,4,6,6
525,1,2,3
525,4,2,3
527,1,6,6
527,4,6,6
530,1,6,1
530,4,6,1
531,1,2,4
531,4,2,4
534,1,2,6
534,4,2,6
537,1,1,3
537,4,1,3
