ifam,ID,OnlineManual13,isOut,whyOut,sex,zygosity,tn_BFI1,tn_BFI2,tn_BFI3,tn_BFI4,tn_BFI5,tn_BFI6,tn_BFI7,tn_BFI8,tn_BFI9,tn_BFI10,tn_BFI11,tn_BFI12,tn_BFI13,tn_BFI14,tn_BFI15,tn_BFI16,tn_BFI17,tn_BFI18,tn_BFI19,tn_BFI20,tn_BFI21,tn_BFI22,tn_BFI23,tn_BFI24,tn_BFI25,tn_BFI26,tn_BFI27,tn_BFI28,tn_BFI29,tn_BFI30,tn_BFI31,tn_BFI32,tn_BFI33,tn_BFI34,tn_BFI35,tn_BFI36,tn_BFI37,tn_BFI38,tn_BFI39,tn_BFI40,tn_BFI41,tn_BFI42,tn_BFI43,tn_BFI44,tn_PDS3,tn_PDS4,tn_PDS5,tn_PDS6_Female,tn_PDS7_Male,tn_PDS8_Female,tn_PDS9_Male,tn_PDS10_Female,tn_PDS12_Male,EMPQ_emotional,EMPQ_cognitive,EMPQ_IRI_motiv,tn_BFI6_Rev,tn_BFI21_Rev,tn_BFI31_Rev,tn_BFI2_Rev,tn_BFI12_Rev,tn_BFI27_Rev,tn_BFI37_Rev,tn_BFI8_Rev,tn_BFI18_Rev,tn_BFI23_Rev,tn_BFI43_Rev,tn_BFI9_Rev,tn_BFI24_Rev,tn_BFI34_Rev,tn_BFI35_Rev,tn_BFI41_Rev,EXTRAVERSION,AGREEABLE,CONSCIENTIOUS,NEUROTICISM,OPENESS
8088,1,2,0, ,1,2,5,4,2,1,5,2,3,4,2,2,5,3,3,2,5,5,3,2,3,4,2,3,3,4,4,3,3,3,3,3,4,4,4,3,4,5,2,3,4,4,3,5,5,3,3,1,1, ,1, ,2, ,3,3.90909090909091,3.44444444444444,3.66666666666667,4,4,2,2,3,3,4,2,4,3,1,4,2,3,2,3,4.125,3.33333333333333,2.77777777777778,2.75,3.5
1000,4,0,0, ,2,3,4,3,2,1,3,2,5,3,2,3,4,2,5,2,3,4,5,4,4,3,1,4,4,2,3,4,1,2,1,1,2,4,4,2,2,5,4,5,4,3,3,4,5,3, , , , , , , , , ,3.45454545454545,3.88888888888889,3.66666666666667,4,5,4,3,4,5,2,3,2,2,1,4,4,4,4,3,4.25,4,2.88888888888889,3,2.9
1001,1,0,0, ,2,3,5,3,2,1,3,5,5,5,5,4,5,1,5,4,4,5,4,5,1,5,1,5,5,4,3,5,1,4,2,1,1,4,4,5,1,5,5,4,1,4,4,5,1,1, ,2,2,3, ,3, ,4, ,3.81818181818182,4.88888888888889,4.6,1,5,5,3,5,5,1,1,1,1,5,1,2,1,5,2,4.5,4.11111111111111,3,1.625,3.2
1001,4,0,0, ,1,3,5,3,2,1,3,3,4,4,4,5,5,1,3,4,3,4,4,5,4,2,1,4,4,3,2,4,1,2,4,2,4,4,4,3,5,5,2,2,1,4,1,5,2,1,3,3,2, ,3, ,1, ,2,3.90909090909091,4.44444444444444,4.16666666666667,3,5,2,3,5,5,4,2,1,2,4,2,3,3,1,5,4.125,4.22222222222222,2.44444444444444,2.75,2.8
1008,1,0,0, ,1,3,4,3,2,1,5,4,4,4,4,5,4,3,3,2,4,4,3,2,4,5,3,4,3,5,4,5,5,4,4,3,4,4,4,3,3,5,3,4,3,4,3,4,5,3,2,3,2, ,1, ,1, ,4,2.63636363636364,3.55555555555556,2.66666666666667,2,3,2,3,3,1,3,2,4,3,1,2,1,3,3,3,3.625,3.22222222222222,3,2.5,3.9
1008,4,0,0, ,2,3,4,4,4,2,4,4,3,4,2,5,4,3,4,4,3,2,3,2,4,4,4,3,3,4,4,3,3,4,3,2,5,4,4,1,3,4,4,3,4,4,3,4,3,3,2,2,3,2, ,3, ,4, ,3.18181818181818,3.77777777777778,3.16666666666667,2,2,1,2,3,3,2,2,4,3,3,4,2,5,3,3,2.75,3,3.44444444444444,3.5,3.5
1013,4,0,0, ,1,2,3,4,5,3,4,2,3,2,3,4,5,2,5,4,4,2,5,3,3,3,3,4,4,4,2,2,2,5,4,2,3,5,3,4,3,4,2,3,3,4,3,4,4,4, , , , , , , , , ,4.09090909090909,4.33333333333333,3.5,4,3,3,2,4,4,4,4,3,2,2,3,2,2,3,3,3.25,3.88888888888889,3.55555555555556,3,3.3
1021,1,0,0, ,1,1,5,1,2,2,5,1,3,2,2,5,3,2,4,4,5,3,5,5,3,5,1,4,5,2,4,5,3,2,4,3,3,3,3,3,1,4,3,4,2,5,2,4,3,2, , , , , , , , , ,3.18181818181818,4,3,5,5,3,5,4,3,3,4,1,1,3,4,4,3,5,4,4.125,3.77777777777778,2.66666666666667,3.25,4.3
1021,4,0,0, ,1,1,5,2,3,2,4,1,4,4,3,5,5,2,4,1,5,3,3,4,2,5,1,3,2,2,5,4,2,3,4,4,2,4,4,4,3,4,3,4,2,4,1,3,2,5, , , , , , , , , ,3.36363636363636,4,3.66666666666667,5,5,4,4,4,4,3,2,2,4,4,3,4,2,3,5,4.375,3.55555555555556,3.33333333333333,2.5,4.5
1027,1,0,0, ,2,2,2,2,5,1,3,5,5,1,5,5,4,1,5,4,5,3,4,1,5,5,5,5,3,4,3,4,1,5,3,5,3,5,5,4,5,5,3,4,3,5,1,5,1,5,3,4,2,3, ,3, ,4, ,3.27272727272727,4.77777777777778,3.33333333333333,1,1,3,4,5,5,3,5,5,3,5,1,2,2,1,5,2.875,4.55555555555556,4.66666666666667,2.625,4.2
1027,4,0,0, ,2,2,3,2,4,2,3,3,5,2,4,4,3,1,5,2,3,3,5,4,4,4,5,5,4,2,3,2,1,3,4,4,4,5,3,2,4,5,3,4,5,3,3,3,5,4,3,4,3,3, ,3, ,4, ,3.27272727272727,4.375,3.16666666666667,3,1,2,4,5,5,3,4,2,2,1,2,4,4,2,3,2.75,4.44444444444444,3.11111111111111,3.375,3.3
1030,1,0,0, ,1,3,4,3,2,4,3,4,5,4,3,5,5,3,3,5,3,3,3,4,4,3,3,4,2,3,3,2,4,2,3,4,3,4,3,3,2,4,4,2,3,4,3,3,4,3,3,3,3, ,2, ,1, ,4,3.72727272727273,3.88888888888889,3.5,2,3,3,3,3,2,2,2,2,4,2,3,3,3,4,3,3.25,3.22222222222222,2.44444444444444,3.5,3.5
1033,1,0,0, ,1,1,3,3,4,1,4,4,5,2,4,5,4,2,5,1,5,3,4,1,2,4,4,4,2,5,3,4,3,4,3,3,2,4,4,4,4,5,2,4,3,4,3,4,2,2, , , , , , , , , ,3.63636363636364,4.11111111111111,3.83333333333333,2,2,4,3,4,3,4,4,5,4,4,2,1,2,2,3,3.375,3.88888888888889,4.22222222222222,1.875,3.5
1033,4,0,0, ,1,1,2,2,4,1,4,4,4,2,5,5,4,1,5,2,4,3,4,2,2,4,5,5,2,4,4,5,2,4,2,4,2,4,4,4,4,4,2,4,2,5,4,5,1,3, , , , , , , , , ,3.45454545454545,3.77777777777778,4,2,1,4,4,5,4,4,4,4,4,5,1,2,2,2,2,3.125,4.33333333333333,4.22222222222222,1.75,3.7
1034,1,0,0, ,2,1,3,1,4,1,3,5,5,1,3,3,3,1,4,3,3,3,4,3,1,4,3,3,1,3,3,3,2,3,1,3,3,3,3,3,3,4,3,3,1,3,3,3,3,1,3, ,2, , ,4, ,4, ,2.81818181818182,3.44444444444444,3.66666666666667,1,3,3,5,5,4,3,5,3,5,3,3,3,3,3,3,2.875,3.88888888888889,3.66666666666667,2,2.9
1034,4,0,0, ,2,1,4,2,5,1,5,5,5,2,3,5,4,1,5,3,5,4,3,2,4,5,3,5,1,4,4,4,1,4,1,5,3,5,5,3, ,4, ,3,2,3,4,5,1,5,3,4,3,3, ,3, ,4, ,4.45454545454545,4.66666666666667,3.83333333333333,1,3,3,4,5,5, ,4,4,5,5,3,2,3, ,2,3.375,4.625,4.44444444444444,2.375,4.33333333333333
1036,1,0,0, ,1,1,4,2,4,2,3,3,4,2,2,4,4,2,3,3,4,4,4,1,4,3,3,4,2,3,4,3,3,4,3,4,2,4,4,2,3,4,3,4,3,3,4,4,3,4, , , , , , , , , ,3.27272727272727,3.66666666666667,3.16666666666667,3,3,4,4,4,3,3,4,5,4,3,4,3,4,3,2,3.625,3.77777777777778,3.88888888888889,3.25,3.4
1037,1,0,0, ,2,2,3,4,4,3,5,4,4,1,5,4,3,2,5,5,5,3,2,5,3,5,3,3,3,2,5,4,2,4,4,3,5,4,4,3,3,3,2,3,4,5,2,1,2,5,3, ,3,3, ,3, ,4, ,4.45454545454545,4.66666666666667,4.83333333333333,2,3,1,2,4,4,4,5,1,3,4,1,4,3,3,4,2.75,3.11111111111111,3.66666666666667,3.375,4.4
