ifam,ID,source,whichParentOut,whyParentOut,EQSQ_empathy.2,EQSQ_empathy.3
10011,1,0,0, ,1.6,1.6
10011,4,0,0, ,1.6,2
10080,1,0,0, ,1.6,0.2
10080,4,0,0, ,1.4,0.6
10171,1,0,0, , ,1.2
10171,4,0,0, , ,1
10211,1,0,0, ,1,1.4
10211,4,0,0, ,0.6,1.4
10273,1,0,0, ,1.4,1.2
10273,4,0,0, ,1.4,1.8
10331,1,0,0, ,1.8,1.6
10331,4,0,0, ,1,1.6
10342,1,0,0, , ,1.2
10342,4,0,0, , ,1.25
10393,1,0,0, ,1,1.4
10393,4,0,0, ,1,1.4
10400,1,0,0, ,0.6, 
10400,4,0,0, ,1.6, 
10422,1,0,0, , ,1.8
10422,4,0,0, , ,1.8
10440,1,0,0, ,1.4,0.2
10440,4,0,0, ,1.6,1
10462,1,0,0, ,1.4,1
10462,4,0,0, ,0.4,0.8
10480,1,0,0, ,1.8,1.4
10480,4,0,0, ,1.75,1
10491,1,0,0, ,1.2,1
10491,4,0,0, ,1.2,1.2
10513,1,0,0, , ,2
10513,4,0,0, , ,1.2
10542,1,0,0, ,1.2,1
10542,4,0,0, ,1,1
10553,1,0,0, ,1.8,1.4
10553,4,0,0, ,1.8,1.4
10560,1,0,0, ,1.6,1.4
10560,4,0,0, ,1.6,1.8
10691,1,0,0, ,1.2,1.4
10691,4,0,0, ,1.2,1.6
10713,1,0,0, ,0.4, 
10713,4,0,0, ,1.2, 
10720,1,0,0, ,0.8,1.4
10720,4,0,0, ,0.2,1.2
10753,1,0,0, , ,1.2
10753,4,0,0, , ,1
10760,1,1,0, , ,1
10760,4,1,0, , ,1.5
10771,1,0,0, , ,1
10771,4,0,0, , ,1.2
10811,1,0,0, , ,1.8
10811,4,0,0, , ,2
10833,1,0,0, , ,1.4
10833,4,0,0, , ,0.8
10840,1,0,0, ,1.6,2
10840,4,0,0, ,1.6,2
10993,1,0,0, ,1.8,1.6
10993,4,0,0, ,1.6,1.4
11011,1,1,0, ,1.4,1.8
11011,4,1,0, ,1.4,1.6
11091,1,1,0, , ,0.6
11091,4,1,0, , ,0.6
11102,1,0,0, ,2,1.4
11102,4,0,0, ,2,1.6
11153,1,0,0, ,1.8,1.2
11153,4,0,0, ,2,2
11171,1,0,0, ,0.6,1.2
11171,4,0,0, ,0.6,0.6
11182,1,0,0, , ,1.6
11182,4,0,0, , ,2
11200,1,0,0, ,0.8,1.4
11200,4,0,0, ,0.8,1.2
11211,1,0,0, , ,1.2
11211,4,0,0, , ,0.8
11251,1,0,0, , ,1
11251,4,0,0, , ,1.2
11291,1,0,0, , ,2
11291,4,0,0, , ,2
11302,1,0,0, ,0.6,1.4
11302,4,0,0, ,0.6,1
11360,1,0,0, ,0.75,1.2
11360,4,0,0, ,1.6,2
11400,1,1,0, , ,1.4
11400,4,1,0, , ,1
11491,1,0,0, ,0.8,0.8
11491,4,0,0, ,0.8,0.8
11611,1,3,0, ,1.8,1.4
11611,4,3,0, ,1.8,1
11651,1,0,0, ,1.4,1.2
11651,4,0,0, ,1.4,1
11713,1,0,0, ,1.6,1.2
11713,4,0,0, ,2,1.6
30000,1,0,0, ,0.8,1.4
30000,4,0,0, ,1.6,1.6
30062,1,1,0, ,1.4,1.5
30062,4,1,0, ,1.2,1.5
30091,1,0,0, , ,1.2
30091,4,0,0, , ,1
30120,1,1,0, ,1.2,1.4
30120,4,1,0, ,1.8,1.6
30142,1,0,0, ,1.8,1
30142,4,0,0, ,1.8,0.8
30153,1,0,0, , ,1.4
30153,4,0,0, , ,1.8
30222,1,0,0, , ,0.8
30222,4,0,0, , ,0.8
30302,1,0,0, ,1.2,1.6
30302,4,0,0, ,1.4,1.6
30331,1,1,0, ,1,1.2
30331,4,1,0, ,1,1.4
30353,1,0,0, ,1.8,1.8
30353,4,0,0, ,1.2,1.8
30371,1,1,0, ,1.4,1.6
30371,4,1,0, ,1.4,1.2
30382,1,0,0, , ,0.4
30382,4,0,0, , ,0.4
30473,1,0,0, ,0.8,1.6
30473,4,0,0, ,1.6,1.6
30480,1,0,0, ,1.2,0.8
30480,4,0,0, ,0.8,0.4
30502,1,0,0, , ,1.6
30502,4,0,0, , ,1
30542,1,0,0, ,1.2,1.8
30542,4,0,0, ,1.6,2
30560,1,0,0, , ,1.6
30560,4,0,0, , ,1.8
30582,1,0,0, ,1,1
30582,4,0,0, ,2,1.8
30662,1,0,0, , ,1.2
30662,4,0,0, , ,0.4
30680,1,1,0, ,1.2,1.4
30680,4,1,0, ,1.2,1.8
30702,1,0,0, ,1.2,0.4
30702,4,0,0, ,1.8,1.2
30731,1,0,0, , ,1.2
30731,4,0,0, , ,1.2
30771,1,0,0, ,0.2,2
30771,4,0,0, ,0.4,1.2
30782,1,0,0, ,1.4,2
30782,4,0,0, ,1.4,2
30833,1,0,0, , ,1.4
30833,4,0,0, , ,1
30840,1,0,0, , ,0.4
30840,4,0,0, , ,1.6
30851,1,0,0, , ,1.2
30851,4,0,0, , ,1.4
30902,1,0,0, , ,1.2
30902,4,0,0, , ,1.2
30920,1,0,0, ,1, 
30920,4,0,0, ,1.8, 
30971,1,0,0, , ,1.8
30971,4,0,0, , ,2
30982,1,0,0, , ,0.2
30982,4,0,0, , ,0.4
31022,1,1,0, , ,1.4
31022,4,1,0, , ,1.8
31040,1,0,0, ,1.6,1.4
31040,4,0,0, ,1.2,0.6
31113,1,0,0, , ,0.8
31113,4,0,0, , ,0.8
31233,1,1,0, , ,1
31233,4,1,0, , ,1.4
31262,1,1,0, ,0.8,0.4
31262,4,1,0, ,1,1
31291,1,0,0, ,0.8,0.4
31291,4,0,0, ,1,0.4
31382,1,0,0, , ,1
31382,4,0,0, , ,1.4
31440,1,0,0, ,1,1.4
31440,4,0,0, ,1,1.2
31513,1,0,0, , ,1
31513,4,0,0, , ,0.6
31542,1,0,0, , ,0.8
31542,4,0,0, , ,1.2
31582,1,0,0, ,1,1.6
31582,4,0,0, ,0.8,0.2
31593,1,1,0, , ,1.8
31593,4,1,0, , ,1.8
31622,1,0,0, , ,1.4
31622,4,0,0, , ,1.4
31731,1,0,0, ,0.8,1
31731,4,0,0, ,1,1
31760,1,0,0, ,1.8,1.4
31760,4,0,0, ,1.8,2
31873,1,0,0, ,2,1.8
31873,4,0,0, ,1.6,1.6
31913,1,0,0, ,1.2,1
31913,4,0,0, ,1,1
31942,1,0,0, ,1.6,0.8
31942,4,0,0, ,1.8,1.4
32033,1,0,0, , ,1.8
32033,4,0,0, , ,1.8
32080,1,0,0, ,1.4,1.6
32080,4,0,0, ,1.4,1.6
32091,1,0,0, ,1.8,1.2
32091,4,0,0, ,1.8,1.6
32200,1,0,0, ,1.2,1
32200,4,0,0, ,1,1
32222,1,0,0, , ,0.6
32222,4,0,0, , ,0.8
32313,1,1,0, ,0.4,1.2
32313,4,1,0, ,0.8,1.4
32342,1,0,0, , ,1.2
32342,4,0,0, , ,1.4
32393,1,1,0, ,0.8,0.75
32393,4,1,0, ,0.8,1
32513,1,0,0, ,1,1
32513,4,0,0, ,0.6,1
32531,1,0,0, ,1.6,1.6
32531,4,0,0, ,1.2, 
32593,1,0,0, , ,1.6
32593,4,0,0, , ,1.2
32680,1,1,0, ,1,1
32680,4,1,0, ,1.2,1
32691,1,0,0, ,0.8,1.8
32691,4,0,0, ,0.8,1.4
32731,1,0,0, ,0.6,0.2
32731,4,0,0, ,1.8,1.8
32760,1,0,0, , ,1.6
32760,4,0,0, , ,1.6
32793,1,1,0, ,1.8,1
32793,4,1,0, ,2,1.2
32822,1,0,0, , ,1.8
32822,4,0,0, , ,0.6
32862,1,0,0, , ,0.8
32862,4,0,0, , ,1.6
32920,1,0,0, , ,0.6
32920,4,0,0, , ,1.4
32953,1,0,0, , ,0.6
32953,4,0,0, , ,1.8
32960,1,0,0, ,1.4,1.6
32960,4,0,0, ,1,1.6
32993,1,0,0, ,0.75,2
32993,4,0,0, ,1,2
33011,1,0,0, , ,0.8
33011,4,0,0, , ,0.8
33033,1,0,0, ,1.2, 
33033,4,0,0, ,1.2, 
33073,1,0,0, ,0.8,1.25
33073,4,0,0, ,0.8,1
33131,1,0,0, ,0.8, 
33131,4,0,0, ,0.2, 
33142,1,0,0, ,0.8,1.6
33142,4,0,0, ,0.6,1.6
33153,1,0,0, ,1.6, 
33153,4,0,0, ,0.666666667, 
33193,1,0,0, , ,2
33193,4,0,0, , ,2
33200,1,1,0, , ,0.75
33200,4,1,0, , ,0.75
33273,1,0,0, ,1.2,2
33273,4,0,0, ,0.6,1.8
33342,1,0,0, ,2,2
33342,4,0,0, ,2,2
33360,1,0,0, , ,1.2
33360,4,0,0, , ,1.5
33393,1,0,3,1,1.8, 
33393,4,0,3,1,1.6, 
33411,1,0,0, ,0.6,1
33411,4,0,0, ,1,1.6
33462,1,0,0, , ,1.4
33462,4,0,0, , ,1.4
33502,1,1,0, ,2,1.4
33502,4,1,0, ,2,1.4
33571,1,0,0, ,1.2,1.6
33571,4,0,0, ,1.2,1.6
33600,1,0,0, ,1.2, 
33600,4,0,0, ,1.8, 
33611,1,0,0, ,1,1
33611,4,0,0, ,0.6,1.75
33633,1,0,0, , ,0.4
33633,4,0,0, , ,0.4
33680,1,0,0, , ,1.6
33680,4,0,0, , ,2
33720,1,0,0, ,1,1.4
33720,4,0,0, ,1.4,0.8
33753,1,0,0, , ,1.4
33753,4,0,0, , ,1.6
33771,1,1,0, ,0,1.2
33771,4,1,0, ,0,1.2
33782,1,0,0, ,0.6,0.8
33782,4,0,0, ,0.8,1
33913,1,0,0, ,1,1.4
33913,4,0,0, ,1,1.4
33920,1,0,0, ,1.2, 
33920,4,0,0, ,1.2, 
33931,1,0,0, ,0.8,1
33931,4,0,0, ,1,1
34062,1,0,0, , ,1.8
34062,4,0,0, , ,1.8
34113,1,0,0, ,1.2,0.4
34113,4,0,0, ,1,1.8
34142,1,0,0, , ,0.6
34142,4,0,0, , ,1.2
34200,1,0,0, ,2,1.8
34200,4,0,0, ,2,1.8
34262,1,0,0, ,1.4,1.2
34262,4,0,0, ,0.8,1
34273,1,0,0, ,2,1.4
34273,4,0,0, ,1.8,0.8
34320,1,0,0, , ,1
34320,4,0,0, , ,1.4
34331,1,0,0, , ,1.2
34331,4,0,0, , ,1.4
34342,1,0,0, ,1.2,1.2
34342,4,0,0, ,1.4,1.2
34462,1,0,0, , ,1.8
34462,4,0,0, , ,1
34480,1,0,0, , ,0.8
34480,4,0,0, , ,0.8
34640,1,0,0, ,1,1.2
34640,4,0,0, ,1,1
34691,1,0,0, ,1.2,1.6
34691,4,0,0, ,1.2,1.6
34713,1,1,0, , ,1.4
34713,4,1,0, , ,1.8
34742,1,0,0, , ,1.2
34742,4,0,0, , ,1.2
34753,1,1,0, ,1.2,1.4
34753,4,1,0, ,1.2,1.4
34793,1,0,0, ,1.2,1.2
34793,4,0,0, ,1.2,1.6
34833,1,0,0, , ,0.8
34833,4,0,0, , ,0.8
34960,1,0,0, ,2, 
34960,4,0,0, ,1.8, 
34971,1,0,0, ,1,0.6
34971,4,0,0, ,1,0.6
34982,1,1,0, ,1.4,1.2
34982,4,1,0, ,1.4,1.4
35000,1,0,0, , ,2
35000,4,0,0, , ,2
35022,1,0,0, ,0.6,1.6
35022,4,0,0, ,0.8,1.8
35091,1,0,0, ,1.8,1.8
35091,4,0,0, ,0,0.2
35160,1,0,0, , ,0.8
35160,4,0,0, , ,0.2
35182,1,0,3,1,2, 
35182,4,0,3,1,1, 
35193,1,0,0, ,1.4,1.4
35193,4,0,0, ,0.8,1.4
35211,1,0,0, ,0.6, 
35211,4,0,0, ,0.6, 
35251,1,0,0, , ,1
35251,4,0,0, , ,1.2
35262,1,0,0, , ,1.2
35262,4,0,0, , ,1.2
35280,1,0,3,1, ,1.2
35313,1,0,0, , ,2
35313,4,0,0, , ,1.8
35393,1,0,0, ,1.666666667, 
35393,4,0,0, ,0.6, 
35520,1,0,0, , ,2
35520,4,0,0, , ,1.6
35531,1,0,0, ,0.4,0.4
35531,4,0,0, ,0,0.4
35593,1,0,0, ,1.2,1
35593,4,0,0, ,1.2,0.4
35691,1,0,0, , ,0.8
35691,4,0,0, , ,1.8
35713,1,0,0, , ,1.333333333
35713,4,0,0, , ,1.333333333
35742,1,0,0, ,1.4,1.8
35742,4,0,0, ,1.4,1.6
35782,1,0,0, , ,1.8
35782,4,0,0, , ,1
35793,1,0,0, ,1.2,1.4
35793,4,0,0, ,1.2,1.4
35800,1,0,0, , ,1.4
35800,4,0,0, , ,1.6
35811,1,0,0, , ,1.8
35811,4,0,0, , ,2
35833,1,0,0, ,1.6,1.6
35833,4,0,0, ,1.2,1.6
35971,1,0,0, ,1.4,1.8
35971,4,0,0, ,0.6,0.6
36102,1,0,0, ,1.4,1.4
36102,4,0,0, ,1,1.6
36131,1,0,0, , ,0.6
36131,4,0,0, , ,0.6
