"ifam","zygosity_2G","sex_2","sex_1","predicted_emotional11r_2","predicted_emotional13r_2","EMPQ_emotional11r_2","EMPQ_emotional13r_2","predicted_cognitive11r_2","predicted_cognitive13r_2","EMPQ_cognitive11r_2","EMPQ_cognitive13r_2","predicted_emotional11r_1","predicted_emotional13r_1","EMPQ_emotional11r_1","EMPQ_emotional13r_1","predicted_cognitive11r_1","predicted_cognitive13r_1","EMPQ_cognitive11r_1","EMPQ_cognitive13r_1"
"ba0006","DZ",2,NA,NA,-0.109005333947033,NA,-0.15469811707701,NA,-0.0737436633089565,NA,-0.26227002155,NA,NA,NA,NA,NA,NA,NA,NA
"ba0010","DZ",1,2,-0.188205968653047,-0.000488735858324727,0.0333882499536194,0.686361647918635,-0.147779785840677,-0.103578359729596,0.317190108153286,0.499572969606299,-0.154894250790173,-0.37469552179117,-0.918556295098158,0.20893824592278,0.0600777948419183,0.249644641324839,0.635254871914074,0.737729978450025
"ba0054","DZ",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.0564127929823047,NA,-0.239339023046347,NA,-0.0214626742561604,NA,0.094967886153299,NA
"ba0080","DZ",2,1,NA,-0.322143328559855,NA,-0.427425390077273,NA,-0.25402113263736,NA,-0.37338113255,NA,-0.222901120985095,NA,-0.586365625081365,NA,-0.0776569221404258,NA,-0.389315918393701
"ba0135","DZ",1,1,NA,-0.0603436716725447,NA,0.868179829918636,NA,-0.0593018519685459,NA,0.388461858606299,0.329757184281775,NA,0.669751885953653,NA,0.0904666954942791,NA,-0.0161432248467011,NA
"ba0150","MZ",1,1,-0.336393890193485,NA,0.487933703953652,NA,0.0157898133386193,NA,0.428301219153299,NA,0.300133212272045,NA,0.397024612953653,NA,0.222224304002009,NA,1.0949678861533,NA
"ba0172","DZ",1,2,0.175267666805445,NA,0.215206431953653,NA,-0.0647099596474506,NA,-1.2383654468467,NA,-0.214767157757959,NA,-0.373101749097559,NA,-0.289792751617247,NA,-0.58696735108618,NA
"ba0194","DZ",1,2,-0.171602903729065,NA,0.0333882499536528,NA,-0.14793684279321,NA,-0.238365446846701,NA,-0.0809584683904793,NA,-0.100374476097559,NA,-0.101011709039797,NA,-0.58696735108618,NA
"ba0216","MZ",1,1,0.0278766105190552,-0.0585735998853347,-0.512066296046347,0.140907102918635,0.0483467811637492,0.091630608860724,-0.793921002846701,0.0551285256062993,NA,0.112614260366455,NA,-0.0409110790813644,NA,0.126888547390625,NA,0.0551285256062993
"ba0264","DZ",1,1,-0.241098109540705,NA,-0.148429932046347,NA,-0.30038544722344,NA,-0.238365446846701,NA,-0.0340213606791947,NA,0.669751885953653,NA,-0.0238525688043603,NA,0.539412330153299,NA
"ba0275","DZ",2,2,0.0200791726035805,0.223769600385505,-0.191283567097558,-0.336516299077273,-0.248183944315897,-0.0694163171477999,-0.36474512808618,0.22384108945,0.0585526232283005,0.039026829025505,-0.100374476097559,-0.336516299077273,0.317698990569563,0.21090860499168,0.301921537913819,0.62661886745
"ba0301","DZ",2,1,0.298055578843731,NA,0.717807341902441,NA,0.330913331700933,NA,0.301921537913819,NA,NA,0.0876674737591854,NA,0.504543465918635,NA,-0.232879217863976,NA,-0.0559825853937007
"ba0334","MZ",1,1,NA,-0.198561299885644,NA,0.231816193918635,NA,0.128516615051514,NA,-0.167093696393701,NA,-0.415399800774215,NA,0.413634374918635,NA,0.00470885804278443,NA,0.166239636606299
"ba0345","MZ",2,2,NA,0.121995109404965,NA,0.845301882922726,NA,0.24614372960912,NA,0.51550775645,NA,-0.330959088016115,NA,-0.791061754077274,NA,-0.24006862740674,NA,-0.70671446655
"ba0356","DZ",1,1,0.0623841184999255,NA,-1.69388447804635,NA,0.0232911798955894,NA,0.317190108153299,NA,-0.0334243258138148,NA,0.260660976953653,NA,0.0508215595683596,NA,0.317190108153299,NA
"ba0360","MZ",1,1,0.00836118460296553,NA,-0.239339023046347,NA,0.0330007223730092,NA,-0.127254335846701,NA,0.0903512049814655,0.0627450619947552,0.124297340953653,0.0499980119186354,-0.0819702923099604,-0.176355530993886,-0.238365446846701,-0.278204807393701
"ba0371","DZ",2,2,-0.226409956452739,NA,-0.373101749097559,NA,-0.163593033686957,NA,-0.36474512808618,NA,0.222816397856041,0.0970778125009552,0.899625523902442,0.845301882922726,0.0939119599954232,0.0949602938883398,0.301921537913819,0.51550775645
"ba0393","MZ",1,1,0.0560533178252055,0.402033187458926,1.06066097695365,-0.0409110790813644,0.16048603641954,0.416835825139875,1.0949678861533,-0.6115381413937,0.00802624587738553,0.183421101918065,-0.421157205046348,-0.404547443081365,-0.13747042649623,0.254078817356744,-0.793921002846701,-0.5004270303937
"ba0404","DZ",1,1,NA,0.414904143890465,NA,0.595452556918635,NA,-0.0939903055706156,NA,-0.278204807393701,NA,-0.0134361595547147,NA,0.595452556918635,NA,-0.206423691500656,NA,-0.389315918393701
"ba0426","MZ",1,1,0.0714018989959654,0.352394117775255,-0.421157205046348,-0.495456534081365,0.35601067633404,0.441930830658574,-0.238365446846701,0.832906303606299,-0.152432261302435,-0.183837884790234,-0.0575208410463471,0.322725283918635,0.14518007099907,0.268118165707544,-0.238365446846701,0.9440174146063
