"ifam","ID","OnlineManual","EMPQ_emotional_11","EMPQ_cognitive_11","predicted_emotional_11","predicted_cognitive_11","OnlineManual13","EMPQ_emotional_13","EMPQ_cognitive_13","predicted_emotional_13","predicted_cognitive_13","sex","zygosity","zygoAcc3"
1000,4,NA,NA,NA,NA,NA,0,3.454545455,3.888888889,3.39203052062246,4.00897240557929,2,3,2
1001,1,0,2.545454545,4.666666667,3.2353988609993,4.04671096991196,0,3.818181818,4.888888889,3.12634033277843,4.33236071021305,2,3,2
1001,4,0,3.272727273,4.222222222,3.13194660681667,3.80634118952118,0,3.909090909,4.444444444,3.34720481840774,3.92033471658322,1,3,2
1005,1,0,3,4,3.2637397824874,3.93265830110569,NA,NA,NA,NA,NA,1,2,1
1008,1,NA,NA,NA,NA,NA,0,2.636363636,3.555555556,3.12479243328097,3.94625615417239,1,3,2
1008,4,NA,NA,NA,NA,NA,0,3.181818182,3.777777778,3.17889252600976,3.82869493625086,2,3,2
1013,1,0,3.909090909,3.888888889,3.64990975975148,4.04458767085613,NA,NA,NA,NA,NA,1,2,1
1013,4,NA,NA,NA,NA,NA,0,4.090909091,4.333333333,3.28734988259352,3.96461122434427,1,2,1
1015,1,0,3.636363636,5,3.62028578774175,4.17634527936386,NA,NA,NA,NA,NA,1,1,1
1015,4,0,3.727272727,4.333333333,2.98375868527622,3.96991078870047,NA,NA,NA,NA,NA,1,1,1
1017,1,0,3.090909091,3.444444444,3.17552595403146,3.69684042345266,NA,NA,NA,NA,NA,2,3,2
1017,4,0,3.454545455,2.666666667,3.49542024227515,3.8894110157144,NA,NA,NA,NA,NA,1,3,2
1019,1,0,3.363636364,3.444444444,3.30933464339894,3.88562146603011,NA,NA,NA,NA,NA,2,3,2
1019,4,0,3.272727273,3.666666667,3.14854967174064,3.80618413256864,NA,NA,NA,NA,NA,1,3,2
1021,1,NA,NA,NA,NA,NA,0,3.181818182,4,3.46030781463252,4.15080162370344,1,1,1
1021,4,0,2.727272727,3.111111111,3.34802918598876,4.0024677565256,0,3.363636364,4,3.28911995438073,4.11554368517354,1,1,1
1026,1,0,3.909090909,4.444444444,3.28613121479051,3.93026840655749,NA,NA,NA,NA,NA,1,2,1
