ifam,ID,zygosity,sex
ba0006,1,3,1
ba0006,4,3,2
ba0010,1,3,2
ba0010,4,3,1
ba0021,1,3,2
ba0021,4,3,1
ba0032,1,3,2
ba0032,4,3,1
ba0043,1,2,1
ba0043,4,2,1
ba0054,1,2,1
ba0054,4,2,1
ba0065,1,2,1
ba0065,4,2,1
ba0076,1,1,2
ba0076,4,1,2
ba0080,1,3,1
ba0080,4,3,2
ba0091,1,2,1
ba0091,4,2,1
ba0102,1,2,1
ba0102,4,2,1
ba0113,1,2,1
ba0113,4,2,1
ba0124,1,3,2
ba0124,4,3,1
ba0135,1,2,1
ba0135,4,2,1
ba0146,1,2,1
ba0146,4,2,1
ba0150,1,1,1
ba0150,4,1,1
ba0161,1,2,2
ba0161,4,2,2
ba0172,1,3,2
ba0172,4,3,1
ba0183,1,1,2
ba0183,4,1,2
ba0194,1,3,2
ba0194,4,3,1
ba0205,1,2,2
ba0205,4,2,2
ba0216,1,1,1
ba0216,4,1,1
ba0220,1,2,2
ba0220,4,2,2
ba0231,1,3,1
ba0231,4,3,2
ba0242,1,3,2
ba0242,4,3,1
ba0253,1,1,1
ba0253,4,1,1
ba0264,1,2,1
ba0264,4,2,1
ba0275,1,2,2
ba0275,4,2,2
ba0286,1,3,2
ba0286,4,3,1
ba0290,1,3,2
ba0290,4,3,1
ba0301,1,3,1
ba0301,4,3,2
ba0312,1,2,1
ba0312,4,2,1
ba0323,1,2,2
ba0323,4,2,2
ba0334,1,1,1
ba0334,4,1,1
ba0345,1,1,2
ba0345,4,1,2
ba0356,1,2,1
ba0356,4,2,1
ba0360,1,1,1
ba0360,4,1,1
ba0371,1,2,2
ba0371,4,2,2
ba0382,1,3,1
ba0382,4,3,2
ba0393,1,1,1
ba0393,4,1,1
ba0404,1,2,1
ba0404,4,2,1
ba0415,1,2,1
ba0415,4,2,1
ba0426,1,1,1
ba0426,4,1,1
ba0430,1,1,2
ba0430,4,1,2
ba0441,1,1,2
ba0441,4,1,2
ba0463,1,2,1
ba0463,4,2,1
ba0474,1,3,2
ba0474,4,3,1
ba0485,1,2,2
ba0485,4,2,2
ba0496,1,3,1
ba0496,4,3,2
ba0500,1,1,2
ba0500,4,1,2
ba0511,1,2,2
ba0511,4,2,2
ba0522,1,2,2
ba0522,4,2,2
ba0533,1,1,1
ba0533,4,1,1
ba0544,1,3,1
ba0544,4,3,2
ba0555,1,2,2
ba0555,4,2,2
ba0566,1,1,1
ba0566,4,1,1
ba0570,1,2,1
ba0570,4,2,1
ba0581,1,1,2
ba0581,4,1,2
ba0592,1,1,2
ba0592,4,1,2
ba0603,1,2,1
ba0603,4,2,1
ba0614,1,1,2
ba0614,4,1,2
ba0625,1,1,1
ba0625,4,1,1
ba0636,1,3,2
ba0636,4,3,1
ba0640,1,2,2
ba0640,4,2,2
ba0651,1,1,2
ba0651,4,1,2
ba0662,1,1,2
ba0662,4,1,2
ba0673,1,1,1
ba0673,4,1,1
ba0684,1,1,2
ba0684,4,1,2
ba0695,1,1,1
ba0695,4,1,1
ba0706,1,3,2
ba0706,4,3,1
ba0710,1,2,1
ba0710,4,2,1
ba0721,1,2,1
ba0721,4,2,1
ba0732,1,3,1
ba0732,4,3,2
ba0743,1,2,2
ba0743,4,2,2
ba0754,1,2,1
ba0754,4,2,1
ba0765,1,3,1
ba0765,4,3,2
ba0776,1,2,1
ba0776,4,2,1
ba0780,1,2,2
ba0780,4,2,2
ba0791,1,3,1
ba0791,4,3,2
ba0802,1,3,1
ba0802,4,3,2
ba0813,1,3,2
ba0813,4,3,1
ba0824,1,3,1
ba0824,4,3,2
ba0835,1,3,2
ba0835,4,3,1
ba0846,1,3,1
ba0846,4,3,2
ba0850,1,1,1
ba0850,4,1,1
ba0861,1,1,2
ba0861,4,1,2
ba0872,1,2,2
ba0872,4,2,2
ba0883,1,2,1
ba0883,4,2,1
ba0894,1,2,1
ba0894,4,2,1
ba0905,1,3,2
ba0905,4,3,1
ba0916,1,3,1
ba0916,4,3,2
ba0920,1,2,1
ba0920,4,2,1
ba0931,1,3,1
ba0931,4,3,2
ba0942,1,3,1
ba0942,4,3,2
ba0953,1,1,2
ba0953,4,1,2
ba0964,1,1,1
ba0964,4,1,1
ba0975,1,3,2
ba0975,4,3,1
ba0986,1,2,2
ba0986,4,2,2
ba0990,1,3,1
ba0990,4,3,2
bd1001,1,3,1
