ifam,ID,source,whichParentOut,whyParentOut,EQSQ_empathy.2,EQSQ_empathy.3
10011,1,0,0, ,1.4,1.2
10011,4,0,0, ,1.2,1.6
10051,1,0,0, ,1, 
10051,4,0,0, ,1, 
10080,1,0,0, , ,0.2
10080,4,0,0, , ,0.2
10131,1,0,0, ,0.8,1.8
10131,4,0,0, ,0.6,2
10153,1,0,0, ,0.8,1.6
10153,4,0,0, ,0.8,1.4
10171,1,0,0, ,1.2,1.2
10171,4,0,0, ,0.8,1.4
10193,1,0,0, , ,0.8
10193,4,0,0, , ,0.6
10200,1,0,0, , ,1.6
10200,4,0,0, , ,1.6
10211,1,0,0, ,1.4,0.6
10211,4,0,0, ,1.4,0.6
10251,1,1,0, ,2,1.6
10251,4,1,0, ,1.8,1.4
10262,1,0,0, ,0.6,1.4
10262,4,0,0, ,0.6,1.6
10273,1,0,0, ,2,1.2
10273,4,0,0, ,2,1.8
10302,1,0,0, ,1.4,1.4
10302,4,0,0, ,1.6,1.4
10331,1,0,0, ,1.4,1.8
10331,4,0,0, ,1.2,1.8
10342,1,0,0, ,1.6,1.4
10342,4,0,0, ,1.8,1.4
10353,1,0,0, , ,0.8
10353,4,0,0, , ,1
10360,1,0,0, ,1.2,1.2
10360,4,0,0, ,1.2,1
10371,1,0,0, ,1.2,1.8
10371,4,0,0, ,1,1.8
10393,1,0,0, ,1,1
10393,4,0,0, ,1,1
10400,1,0,0, ,1,1.4
10400,4,0,0, ,1.4,1.4
10411,1,0,0, ,0.6,0.2
10411,4,0,0, ,0.8,0.4
10422,1,0,0, , ,1.4
10422,4,0,0, , ,1.6
10440,1,0,0, ,1,0.4
10440,4,0,0, ,1.4,0.4
10462,1,0,0, ,1.2,1.4
10462,4,0,0, ,0.4,1.2
10473,1,0,0, , ,1.2
10473,4,0,0, , ,1.2
10480,1,0,0, ,1.4,1.2
10480,4,0,0, ,1.4,1
10491,1,1,0, ,1.4,0.6
10491,4,1,0, ,1.4,1
10513,1,0,0, , ,1.8
10513,4,0,0, , ,1
10520,1,0,0, , ,1
10520,4,0,0, , ,1.2
10531,1,0,0, , ,2
10531,4,0,0, , ,1.4
10542,1,0,0, ,1.8,1.6
10542,4,0,0, ,1.8,1.6
10560,1,0,0, ,1.8,2
10560,4,0,0, ,1.8,2
10582,1,2,0, ,1,1
10582,4,2,0, ,1.2,1
10640,1,0,0, ,1,0.8
10640,4,0,0, ,2,1
10662,1,0,0, , ,1.8
10662,4,0,0, , ,2
10673,1,0,0, , ,1
10673,4,0,0, , ,1
10691,1,0,0, ,0.8,0.8
10691,4,0,0, ,1,1.4
10702,1,2,0, ,1.2,2
10702,4,2,0, ,1.4,1.4
10713,1,0,0, ,1.2,1.4
10713,4,0,0, ,1.6,1.2
10720,1,0,0, ,0.8,1.8
10720,4,0,0, ,0.2,1.4
10742,1,0,0, , ,1.8
10742,4,0,0, , ,1.6
10760,1,0,0, ,0.75,0.75
10760,4,0,0, ,1.5,1.5
10771,1,0,0, , ,1
10771,4,0,0, ,0.8,1.2
10782,1,0,0, , ,1
10782,4,0,0, , ,1.6
10800,1,0,0, ,1.4, 
10800,4,0,0, ,1.4, 
10811,1,0,0, , ,2
10811,4,0,0, , ,2
10833,1,0,0, ,1.6,1.8
10833,4,0,0, ,1.2,0.8
10840,1,0,0, , ,2
10840,4,0,0, , ,1.6
10873,1,0,0, ,1,1.4
10873,4,0,0, ,0.8,0.4
10880,1,0,0, , ,0.6
10880,4,0,0, , ,1.6
10942,1,0,0, , ,0.4
10942,4,0,0, , ,1.2
10953,1,1,0, , ,1.2
10953,4,1,0, , ,1.2
10960,1,0,0, ,0, 
10960,4,0,0, ,0, 
10971,1,0,0, , ,1.4
10971,4,0,0, , ,1.2
10993,1,0,0, ,1.8,1.4
10993,4,0,0, ,1.6,1
11000,1,1,0, , ,1.25
11000,4,1,0, , ,1.5
11011,1,1,0, ,1.8,1
11011,4,1,0, ,1,1
11022,1,1,0, , ,1.8
11022,4,1,0, , ,1.8
11033,1,1,0, ,1.4,1.4
11033,4,1,0, ,1,1.2
11061,1,0,0, ,2,2
11061,4,0,0, ,2,1.8
11080,1,0,0, , ,0.8
11080,4,0,0, , ,1.2
11091,1,1,0, , ,0.4
11091,4,1,0, , ,0.6
11102,1,0,0, ,1.8,1.6
11102,4,0,0, ,1.8,1.6
11142,1,0,0, ,1.2,1.8
11142,4,0,0, ,1.2,2
11153,1,0,0, ,1.2,1.8
11153,4,0,0, ,1,1.8
11171,1,0,0, ,0, 
11171,4,0,0, ,0, 
11193,1,0,0, , ,1.4
11193,4,0,0, , ,1.4
11200,1,0,0, , ,1.2
11200,4,0,0, , ,1.25
11211,1,0,0, ,0.4,1.2
11211,4,0,0, ,0.8,1
11273,1,1,0, , ,1.8
11273,4,1,0, , ,1.2
11280,1,1,0, ,1,1.6
11280,4,1,0, ,1.666666667,1.6
11291,1,0,0, ,2,2
11291,4,0,0, ,1.8,2
11302,1,0,0, ,0.6,1.2
11302,4,0,0, ,0.8,1.6
11313,1,0,0, , ,2
11313,4,0,0, , ,1.6
11320,1,0,0, , ,1.6
11320,4,0,0, , ,1.6
11331,1,0,0, ,1.4,1
11331,4,0,0, ,1.4,1
11353,1,0,0, ,0.4,1.4
11353,4,0,0, ,2,1.8
11360,1,0,0, ,1.4,2
11360,4,0,0, ,1.4,2
11371,1,0,0, ,1.6,1.4
11371,4,0,0, ,1.2,1.8
11382,1,0,0, , ,1.2
11382,4,0,0, , ,1.6
11393,1,0,0, ,1.4, 
11393,4,0,0, ,1.6, 
11433,1,0,0, ,1.75,1.6
11433,4,0,0, ,1.8,1.4
11491,1,0,0, ,0.8,1.2
11491,4,0,0, ,1,1
11513,1,0,0, ,0.8,0.2
11513,4,0,0, ,0.8,1.2
11553,1,1,0, , ,0.4
11553,4,1,0, , ,1.8
11582,1,0,0, ,1.6, 
11582,4,0,0, ,1.4, 
11593,1,0,0, ,0.8,1.2
11593,4,0,0, ,1.2,1.8
11611,1,1,0, ,1.6,1.6
11611,4,1,0, ,1.8,1
11633,1,1,0, , ,0.8
11633,4,1,0, , ,1
11640,1,0,0, ,0.8,1.4
11640,4,0,0, ,0.8,1.6
11651,1,0,0, ,1.4,1.6
11651,4,0,0, ,1.4,1.6
11662,1,0,0, ,1.8,1.8
11662,4,0,0, ,1.6,1.2
11673,1,0,0, ,0.8,1.4
11673,4,0,0, ,0.8,1.4
11680,1,1,0, ,1,0.6
11680,4,1,0, ,1.4,1.4
11713,1,0,0, ,1,1
11713,4,0,0, ,1.8,1.4
11753,1,0,0, ,0.5,1
11753,4,0,0, ,1.25,1.6
11822,1,0,0, ,1.4,1.8
11822,4,0,0, ,1.4,1.8
11873,1,0,0, ,1.4,1.4
11873,4,0,0, ,1.6,1.8
11902,1,0,0, , ,0.6
11902,4,0,0, , ,0.8
11931,1,0,0, ,0.6,0.4
11931,4,0,0, ,0.8,2
11942,1,0,0, ,0.6,0.8
11942,4,0,0, ,0.25,1.2
30000,1,0,0, ,0.6,1.4
30000,4,0,0, ,0.8,1.8
30011,1,0,0, ,1.4,0.8
30011,4,0,0, ,1,1.2
30091,1,0,0, ,1.8,1.4
30091,4,0,0, ,1.8,0.8
30120,1,1,0, ,0.8,1.6
30120,4,1,0, ,1.6,1.4
30142,1,0,0, ,2,2
30142,4,0,0, ,1.6,1
30153,1,0,0, , ,2
30153,4,0,0, , ,1.8
30171,1,0,0, ,1,2
30171,4,0,0, ,1.6,2
30193,1,0,0, ,1.4,1.6
30193,4,0,0, ,1.6,1.6
30240,1,1,2,1,1.6,1
30240,4,1,2,1,1.6,0.8
30262,1,0,0, , ,1
30262,4,0,0, , ,1.4
30280,1,0,0, , ,1.6
30280,4,0,0, , ,1.4
30291,1,0,3,1,1.2, 
30291,4,0,3,1,2, 
30302,1,0,0, ,1.2,0.8
30302,4,0,0, ,1.4,1.2
30313,1,0,0, , ,0.4
30313,4,0,0, , ,1.4
30331,1,1,0, ,1.2,0.6
30331,4,1,0, ,1,1.4
30342,1,0,0, ,1.6,1.8
30342,4,0,0, ,1.6,1.8
30353,1,0,0, ,1.2,1.2
30353,4,0,0, ,1,1.2
30371,1,0,0, , ,1.6
30371,4,0,0, , ,1.8
30382,1,0,0, ,0.2, 
30382,4,0,0, ,0.4, 
30451,1,1,0, ,1.4,1.6
30451,4,1,0, ,1.4,1.4
30462,1,0,0, ,2,1
30462,4,0,0, ,2,1
30473,1,0,0, ,1.6,1.4
30473,4,0,0, ,2,1.4
30480,1,0,0, ,0.4,1.2
30480,4,0,0, ,0.4,0.6
30502,1,0,0, , ,2
30502,4,0,0, , ,1.6
30542,1,0,0, , ,2
30542,4,0,0, , ,2
30560,1,0,0, ,1.2,1.6
30560,4,0,0, ,1.4,1.6
30582,1,0,0, ,1.4,1.4
30582,4,0,0, ,1.8,2
30593,1,0,0, , ,1.2
30593,4,0,0, , ,1.2
30640,1,0,0, , ,1.6
30640,4,0,0, , ,1.4
30662,1,0,0, ,0,0.6
30662,4,0,0, ,0,0.2
30673,1,0,0, , ,1.6
30673,4,0,0, , ,1.4
30680,1,0,0, ,2,1.8
30680,4,0,0, ,2,1.8
30702,1,0,0, ,1.4,0.6
30702,4,0,0, ,1.4,1
30731,1,0,0, , ,1.2
30731,4,0,0, , ,1.2
30742,1,0,3,1,1.2, 
30742,4,0,3,1,1.6, 
30753,1,0,0, ,1.6,1.6
30753,4,0,0, ,1,1
30771,1,0,0, ,1,2
30771,4,0,0, ,0.6,1.4
30782,1,0,0, ,0.8,1.4
30782,4,0,0, ,1.6,2
30833,1,0,0, , ,1.4
30833,4,0,0, , ,0.8
30851,1,0,0, , ,1.4
30851,4,0,0, , ,2
30862,1,0,0, , ,0.8
30862,4,0,0, , ,1.4
30873,1,0,0, , ,0.8
30873,4,0,0, , ,1.2
30880,1,1,0, ,1.2,1
30880,4,1,0, ,1,1.2
30902,1,0,0, , ,1.8
30902,4,0,0, , ,1.4
30931,1,0,0, ,1.8,1
30931,4,0,0, ,1.2,0.8
30960,1,0,0, , ,1.2
30960,4,0,0, , ,1.8
30982,1,0,0, , ,0.2
30982,4,0,0, , ,0.2
31011,1,0,0, , ,1
31011,4,0,0, , ,1
31022,1,0,0, , ,1.4
31022,4,0,0, , ,1.6
31033,1,0,0, , ,2
31033,4,0,0, , ,1.6
31040,1,0,0, ,1.6,1.2
31040,4,0,0, ,1.6,1.4
31113,1,0,0, , ,1
31113,4,0,0, , ,0.6
31233,1,1,0, , ,0.4
31233,4,1,0, , ,0.6
31291,1,0,0, , ,0.6
31291,4,0,0, , ,0.6
31302,1,0,0, ,1.6,2
31302,4,0,0, ,1.6,2
31371,1,0,0, , ,1.4
31371,4,0,0, , ,1.6
31393,1,1,0, ,1.8,1.8
31393,4,1,0, ,2,1.8
31440,1,0,0, ,1.6,1.2
31440,4,0,0, ,1.6,1.2
31462,1,1,0, ,1.4,1.4
31462,4,1,0, ,1.8,1.8
31531,1,0,0, ,2,2
31531,4,0,0, ,1.8,1.2
31553,1,1,0, ,1,1.6
31553,4,1,0, ,1,1.6
31582,1,0,0, ,0.6,1.6
31582,4,0,0, ,0.4,0.6
31593,1,1,0, , ,1.6
31593,4,1,0, , ,1.6
31633,1,0,0, , ,1.8
31633,4,0,0, , ,0.8
31720,1,1,0, ,1.6,2
31720,4,1,0, ,1.8,1.8
31731,1,0,0, , ,0.8
31731,4,0,0, , ,0.8
