ifam,ID,Age13
10000,4,13.42425432
10011,1,13.32899362
10011,4,13.36214205
10080,1,13.18854026
10080,4,13.35147312
10131,4,13.38080066
10211,1,13.6026598
10211,4,13.47657585
10273,1,13.51749547
10273,4,13.51748869
10302,1,13.35370637
10331,1,13.49506601
10331,4,13.49606184
10342,1,13.19762739
10342,4,13.17847032
10360,1,13.22817581
10371,1,13.30078732
10393,1,13.19745164
10393,4,13.19758819
10400,1,13.81348899
10400,4,13.41587643
10422,1,13.15065306
10422,4,13.13947512
10440,1,13.19209835
10440,4,13.19146887
10462,1,13.44031051
10462,4,13.74765591
10480,1,13.37021738
10480,4,13.37034271
10491,1,13.42787579
10491,4,13.42751296
10513,1,13.23032306
10513,4,13.23010093
10542,1,13.19509139
10542,4,13.16213933
10553,1,13.88233871
10553,4,13.88433816
10560,1,13.31422931
10560,4,13.31412788
10633,1,13.27951856
10640,1,13.30731485
10640,4,13.3086942
10673,1,13.07431113
10673,4,13.09301281
10680,1,13.64951067
10680,4,13.64951761
10691,1,13.07146561
10691,4,13.09122598
10713,1,13.69583619
10720,1,13.23509034
10720,4,13.23647096
10742,1,13.20534144
10742,4,13.20531051
10760,1,13.2073922
10760,4,13.2073922
10771,1,13.24685895
10771,4,13.24693228
10833,1,13.10635365
10833,4,13.10764066
10840,1,13.96705035
10840,4,13.02217269
10873,1,13.75087288
10993,1,13.15054589
10993,4,13.06364004
11000,1,13.47296372
11000,4,13.47296372
11011,1,13.98767967
11011,4, 
11080,4, 
11091,1, 
11102,1,13.21871413
11102,4,13.21856424
11153,1,13.05206549
11153,4,13.04721059
11160,1,13.4552337
11171,1,13.89586575
11182,1,13.32875073
11182,4,13.3892039
11200,1,13.31286375
11200,4,13.33992683
11211,1,13.16195487
11211,4,13.16194422
11233,1,13.71251138
11233,4,13.57243003
11251,1,13.66258892
11251,4,13.66276022
11291,4,13.42441044
11302,1,13.78354387
11302,4,13.43868545
11320,1,13.62189916
11331,4,13.43034454
11360,1,13.01358839
11360,4,13.01343607
11382,1,13.23038127
11382,4,13.23033586
11400,1, 
11400,4,13.44558522
11433,1,13.05839516
11433,4,13.05458932
11480,1,13.02732492
11491,1,13.38319631
11491,4,13.38323051
