"","ifam","ID","gfold1113"
"1",1000,4,2
"2",1001,1,3
"3",1001,4,3
"4",1008,1,6
"5",1008,4,6
"6",1013,4,4
"7",1021,1,3
"8",1021,4,3
"9",1027,1,6
"10",1027,4,6
"11",1030,1,2
"12",1033,1,6
"13",1033,4,6
"14",1034,1,3
"15",1034,4,3
"16",1036,1,1
"17",1037,1,1
"18",1039,1,6
"19",1039,4,6
"20",1040,1,2
"21",1040,4,2
"22",1042,1,1
"23",1042,4,1
"24",1044,1,4
"25",1044,4,4
"26",1046,1,1
"27",1046,4,1
"28",1048,1,6
"29",1048,4,6
"30",1049,1,3
"31",1049,4,3
"32",1051,1,1
"33",1051,4,1
"34",1054,1,2
"35",1054,4,2
"36",1055,1,3
"37",1055,4,3
"38",1056,1,2
"39",1056,4,2
"40",1063,1,6
"41",1064,1,2
"42",1064,4,2
"43",1067,1,4
"44",1067,4,4
"45",1068,1,4
"46",1068,4,4
"47",1069,1,3
"48",1069,4,3
"49",1071,1,1
"50",1072,1,5
"51",1072,4,5
"52",1074,1,5
"53",1074,4,5
"54",1076,1,2
"55",1076,4,2
"56",1077,1,3
"57",1077,4,3
"58",1083,1,6
"59",1083,4,6
"60",1084,1,2
"61",1084,4,2
"62",1087,1,1
"63",1099,1,5
"64",1099,4,5
"65",1100,1,3
"66",1100,4,3
"67",1101,1,3
"68",1101,4,3
"69",11021,4,2
"70",11033,1,1
"71",11033,4,1
"72",11035,1,1
"73",11035,4,1
"74",11036,1,2
"75",11036,4,2
"76",11037,1,1
"77",11038,1,4
"78",11038,4,4
"79",11041,1,6
"80",11041,4,6
"81",11042,1,2
"82",11042,4,2
"83",11044,1,2
"84",11044,4,2
"85",11046,1,6
"86",11046,4,6
"87",11048,1,4
"88",11048,4,4
"89",11049,1,5
"90",11049,4,5
"91",11051,1,6
"92",11051,4,6
"93",11054,1,6
"94",11054,4,6
"95",11056,1,2
"96",11056,4,2
"97",11059,1,5
"98",11059,4,5
"99",11061,1,1
"100",11061,4,1
"101",11063,1,1
"102",11063,4,1
"103",11065,1,2
"104",11065,4,2
"105",11066,1,3
"106",11066,4,3
"107",1108,4,6
"108",1109,1,5
"109",1110,1,5
"110",1110,4,5
"111",1115,1,2
"112",1115,4,2
"113",1116,1,3
"114",1117,1,2
"115",1118,1,6
"116",1118,4,6
"117",1120,1,6
"118",1120,4,6
"119",1121,1,2
"120",1121,4,2
"121",1123,1,5
"122",1123,4,5
"123",1125,1,4
"124",1125,4,4
"125",1129,4,1
"126",1130,1,1
"127",1130,4,1
"128",1132,1,3
"129",1133,4,5
"130",1136,1,3
"131",1136,4,3
"132",1138,1,2
"133",1138,4,2
"134",1140,1,5
"135",1140,4,5
"136",1143,1,3
