ifam,ID,Date.2,Date.3,source,StartDate.2,FinishDate.2,StartDate.3,FinishDate.3,family_note,whichParentOut,whyParentOut,EmpCon.2,EmpCon.3,EQSQ_empathy.2,EQSQ_empathy.3
1001,1, , ,0,5/28/2015 17:51:42,7/6/2015 18:42:57,7/26/2015 15:45:11,7/26/2015 16:52:10, ,0, ,1.33333333333333,1.5,1.4,1.2
1001,4, , ,0,5/28/2015 17:51:42,7/6/2015 18:42:57,7/26/2015 15:45:11,7/26/2015 16:52:10, ,0, ,1.16666666666667,1.83333333333333,1.2,1.6
1005,1, , ,0,4/8/2015 13:56:21,4/8/2015 17:13:18, , , ,0, ,1, ,1, 
1005,4, , ,0,4/8/2015 13:56:21,4/8/2015 17:13:18, , , ,0, ,1, ,1, 
1008,1, , ,0, , ,4/13/2015 5:55:50,11/2/2015 18:50:03, ,0, , ,.166666666666667, ,.2
1008,4, , ,0, , ,4/13/2015 5:55:50,11/2/2015 18:50:03, ,0, , ,0, ,.2
1013,1, , ,0, ,5/15/2015 9:42:06, , ,האמא סיפרה שתאום ב פחד מאוד בקטע של הפרצופים והסרטונים,0, ,.833333333333333,1.66666666666667,.8,1.8
1013,4, , ,0, ,5/15/2015 9:42:06, , ,האמא סיפרה שתאום ב פחד מאוד בקטע של הפרצופים והסרטונים,0, ,.833333333333333,2,.6,2
1015,1, , ,0,4/20/2015 17:23:06,4/21/2015 6:52:33,4/21/2015 6:53:06,4/21/2015 8:23:06,לתאום א יש CP קל,0, ,.5,2,.8,1.6
1015,4, , ,0,4/20/2015 17:23:06,4/21/2015 6:52:33,4/21/2015 6:53:06,4/21/2015 8:23:06,לתאום א יש CP קל,0, ,.5,1.66666666666667,.8,1.4
1017,1, , ,0,5/22/2015 15:56:14,5/23/2015 14:37:10,4/27/2015 15:02:01,5/7/2015 11:29:14, ,0, ,1.66666666666667,1.5,1.2,1.2
1017,4, , ,0,5/22/2015 15:56:14,5/23/2015 14:37:10,4/27/2015 15:02:01,5/7/2015 11:29:14, ,0, ,1,1.5,.8,1.4
1019,1, , ,0, , , , , ,0, , ,1.16666666666667, ,.8
1019,4, , ,0, , , , , ,0, , ,1.16666666666667, ,.6
1020,1, , ,0, , ,3/31/2015 9:54:08,3/31/2015 11:11:51,לא להשתמש במשחק דוט פרוב של התאומות. ולא להשתמש בטריל מאקינג של תאומה ב,0, , ,1.33333333333333, ,1.6
