ifam,ID,gfold,gfold1113
1,4,2,2
2,1,5,3
2,4,5,3
9,1,2,6
9,4,2,6
14,4,5,4
22,1,3,3
22,4,3,3
28,1,6,6
28,4,6,6
31,1,1,2
34,1,5,6
34,4,5,6
35,1,3,3
35,4,3,3
37,1,4,1
38,1,4,1
40,1,2,6
40,4,2,6
41,1,5,2
41,4,5,2
43,1,2,1
43,4,2,1
45,1,1,4
45,4,1,4
46,1,1,1
46,4,1,1
48,1,3,6
48,4,3,6
49,1,3,3
49,4,3,3
51,1,1,1
51,4,1,1
54,1,6,2
54,4,6,2
55,1,1,3
55,4,1,3
56,1,6,2
56,4,6,2
63,1,5,6
64,1,5,2
64,4,5,2
67,1,2,4
67,4,2,4
68,1,6,4
68,4,6,4
69,1,2,3
69,4,2,3
71,1,3,1
72,1,5,5
72,4,5,5
74,1,2,5
74,4,2,5
76,1,2,2
76,4,2,2
77,1,4,3
77,4,4,3
83,1,3,6
83,4,3,6
84,1,3,2
84,4,3,2
87,1,1,1
99,1,6,5
99,4,6,5
100,1,5,3
100,4,5,3
101,1,5,3
101,4,5,3
1612,4,6,2
1622,1,4,1
1622,4,4,1
1624,1,3,1
1624,4,3,1
1625,1,6,2
1625,4,6,2
1626,1,3,1
1627,1,2,4
1627,4,2,4
1630,1,4,6
1630,4,4,6
1631,1,6,2
1631,4,6,2
1633,1,5,2
1633,4,5,2
1635,1,4,6
1635,4,4,6
1637,1,3,4
1637,4,3,4
1638,1,1,5
1638,4,1,5
1640,1,5,6
1640,4,5,6
1643,1,4,6
1643,4,4,6
1644,1,3,2
1644,4,3,2
1647,1,6,5
1647,4,6,5
1649,1,1,1
1649,4,1,1
1651,1,1,1
1651,4,1,1
1653,1,5,2
1653,4,5,2
1654,1,1,3
1654,4,1,3
108,4,2,6
109,1,5,5
110,1,3,5
110,4,3,5
115,1,3,2
115,4,3,2
116,1,1,3
117,1,5,2
118,1,5,6
118,4,5,6
120,1,6,6
120,4,6,6
121,1,5,2
121,4,5,2
123,1,4,5
123,4,4,5
125,1,3,4
125,4,3,4
129,4,1,1
130,1,1,1
130,4,1,1
132,1,1,3
133,4,3,5
136,1,3,3
136,4,3,3
138,1,5,2
138,4,5,2
140,1,2,5
140,4,2,5
143,1,5,3
143,4,5,3
148,1,4,2
149,1,4,3
149,4,4,3
159,1,1,4
159,4,1,4
161,1,5,1
161,4,5,1
164,1,4,2
164,4,4,2
165,1,3,3
165,4,3,3
166,1,6,1
167,1,5,4
167,4,5,4
170,4,1,1
171,1,1,2
171,4,1,2
175,1,3,5
175,4,3,5
178,1,4,5
178,4,4,5
184,1,6,3
195,1,2,3
195,4,2,3
201,1,3,5
201,4,3,5
207,1,4,1
207,4,4,1
209,1,5,5
209,4,5,5
210,1,5,3
210,4,5,3
217,1,1,3
217,4,1,3
225,1,1,5
225,4,1,5
228,1,4,2
228,4,4,2
230,1,4,5
230,4,4,5
232,1,3,6
232,4,3,6
241,1,5,6
241,4,5,6
242,1,4,6
242,4,4,6
244,1,2,3
244,4,2,3
248,1,2,3
248,4,2,3
250,4,4,3
252,1,5,6
252,4,5,6
257,1,6,1
257,4,6,1
259,1,6,4
259,4,6,4
261,1,3,6
261,4,3,6
262,1,5,3
262,4,5,3
264,1,1,5
264,4,1,5
265,1,1,3
266,1,6,5
266,4,6,5
268,1,1,4
268,4,1,4
269,1,4,5
269,4,4,5
274,1,1,6
274,4,1,6
275,1,4,1
275,4,4,1
280,1,3,1
280,4,3,1
286,1,3,2
286,4,3,2
291,1,1,5
291,4,1,5
292,1,3,1
293,1,1,4
293,4,1,4
299,1,1,4
299,4,1,4
303,1,1,3
308,1,4,2
308,4,4,2
311,1,2,4
311,4,2,4
312,1,6,2
312,4,6,2
318,1,5,1
318,4,5,1
324,1,2,2
324,4,2,2
326,1,6,2
326,4,6,2
333,1,4,5
333,4,4,5
338,1,4,6
338,4,4,6
353,1,3,5
353,4,3,5
362,1,1,5
362,4,1,5
365,1,5,5
365,4,5,5
368,1,2,3
368,4,2,3
377,1,4,4
377,4,4,4
382,1,2,6
382,4,2,6
383,1,4,2
383,4,4,2
392,1,5,3
392,4,5,3
394,1,6,2
394,4,6,2
403,1,6,5
403,4,6,5
405,1,5,3
406,1,1,2
406,4,1,2
411,1,6,5
411,4,6,5
420,1,4,3
420,4,4,3
421,1,5,4
422,1,3,1
422,4,3,1
426,1,2,4
426,4,2,4
430,1,5,5
430,4,5,5
434,1,4,5
434,4,4,5
435,1,4,4
435,4,4,4
439,1,6,2
439,4,6,2
441,1,6,6
441,4,6,6
442,1,2,4
442,4,2,4
444,1,1,4
444,4,1,4
445,1,3,6
445,4,3,6
447,1,5,2
447,4,5,2
451,1,5,3
452,1,2,2
452,4,2,2
457,1,1,5
457,4,1,5
458,1,5,2
458,4,5,2
459,1,6,5
459,4,6,5
460,1,4,6
460,4,4,6
462,1,3,3
462,4,3,3
464,1,4,6
464,4,4,6
466,1,2,4
466,4,2,4
470,1,4,2
470,4,4,2
476,1,1,3
476,4,1,3
477,1,2,3
477,4,2,3
478,1,4,6
478,4,4,6
482,1,4,3
482,4,4,3
483,1,5,3
483,4,5,3
489,1,5,4
489,4,5,4
490,1,6,3
490,4,6,3
492,1,1,4
492,4,1,4
496,1,1,2
496,4,1,2
497,1,4,2
500,1,4,1
500,4,4,1
502,1,3,6
502,4,3,6
507,1,6,1
507,4,6,1
511,1,3,1
511,4,3,1
516,1,6,2
516,4,6,2
520,4,1,2
521,1,6,3
521,4,6,3
522,1,2,3
522,4,2,3
527,1,3,6
527,4,3,6
531,1,3,4
531,4,3,4
536,1,6,1
536,4,6,1
537,1,4,3
537,4,4,3
548,1,6,1
548,4,6,1
550,1,4,6
550,4,4,6
561,1,3,2
561,4,3,2
566,1,4,6
566,4,4,6
568,1,6,3
569,1,6,5
569,4,6,5
572,1,2,1
572,4,2,1
578,1,6,6
578,4,6,6
579,1,1,4
579,4,1,4
581,1,6,4
581,4,6,4
583,1,4,4
583,4,4,4
584,1,1,6
584,4,1,6
585,1,1,3
585,4,1,3
592,1,3,6
596,4,5,6
609,1,2,2
609,4,2,2
611,1,2,6
611,4,2,6
614,1,1,4
614,4,1,4
616,1,2,1
616,4,2,1
619,1,1,4
619,4,1,4
620,1,2,1
620,4,2,1
623,1,6,4
623,4,6,4
624,1,5,6
624,4,5,6
627,1,4,5
627,4,4,5
628,4,2,3
640,1,6,3
641,1,1,5
641,4,1,5
642,1,5,3
642,4,5,3
644,1,6,3
644,4,6,3
646,1,6,1
646,4,6,1
653,1,2,1
653,4,2,1
660,1,3,5
660,4,3,5
662,1,3,6
662,4,3,6
663,1,5,1
663,4,5,1
664,1,2,5
664,4,2,5
667,1,6,5
667,4,6,5
668,1,4,3
668,4,4,3
673,1,3,5
673,4,3,5
677,1,3,3
693,1,2,4
693,4,2,4
694,4,1,5
696,1,6,1
696,4,6,1
699,1,6,4
699,4,6,4
709,1,3,2
709,4,3,2
710,4,6,4
713,1,5,2
713,4,5,2
717,1,6,2
717,4,6,2
718,1,6,2
718,4,6,2
719,1,6,4
719,4,6,4
720,1,5,2
720,4,5,2
722,1,6,5
722,4,6,5
734,4,1,5
735,1,1,1
735,4,1,1
740,1,6,1
741,1,2,5
747,1,6,5
747,4,6,5
751,1,2,5
751,4,2,5
753,1,4,5
753,4,4,5
754,1,2,3
756,1,6,3
756,4,6,3
758,4,6,5
759,1,4,6
759,4,4,6
762,1,6,5
762,4,6,5
763,1,3,3
769,4,3,6
779,1,5,4
784,1,1,4
784,4,1,4
789,4,4,2
