ifam,ID,Age13
1,4,13.42425432
2,1,13.32899362
2,4,13.36214205
9,1,13.18854026
9,4,13.35147312
14,4,13.38080066
22,1,13.6026598
22,4,13.47657585
28,1,13.51749547
28,4,13.51748869
31,1,13.35370637
34,1,13.49506601
34,4,13.49606184
35,1,13.19762739
35,4,13.17847032
37,1,13.22817581
38,1,13.30078732
40,1,13.19745164
40,4,13.19758819
41,1,13.81348899
41,4,13.41587643
43,1,13.15065306
43,4,13.13947512
45,1,13.19209835
45,4,13.19146887
46,1,13.44031051
46,4,13.74765591
48,1,13.37021738
48,4,13.37034271
49,1,13.42787579
49,4,13.42751296
51,1,13.23032306
51,4,13.23010093
54,1,13.19509139
54,4,13.16213933
55,1,13.88233871
55,4,13.88433816
56,1,13.31422931
56,4,13.31412788
63,1,13.27951856
64,1,13.30731485
64,4,13.3086942
67,1,13.07431113
67,4,13.09301281
68,1,13.64951067
68,4,13.64951761
69,1,13.07146561
69,4,13.09122598
71,1,13.69583619
72,1,13.23509034
72,4,13.23647096
74,1,13.20534144
74,4,13.20531051
76,1,13.2073922
76,4,13.2073922
77,1,13.24685895
77,4,13.24693228
83,1,13.10635365
83,4,13.10764066
84,1,13.96705035
84,4,13.02217269
87,1,13.75087288
99,1,13.15054589
99,4,13.06364004
100,1,13.47296372
100,4,13.47296372
101,1,13.98767967
101,4, 
108,4, 
109,1, 
110,1,13.21871413
110,4,13.21856424
115,1,13.05206549
115,4,13.04721059
116,1,13.4552337
117,1,13.89586575
118,1,13.32875073
118,4,13.3892039
120,1,13.31286375
120,4,13.33992683
121,1,13.16195487
121,4,13.16194422
123,1,13.71251138
123,4,13.57243003
125,1,13.66258892
125,4,13.66276022
129,4,13.42441044
130,1,13.78354387
130,4,13.43868545
132,1,13.62189916
133,4,13.43034454
136,1,13.01358839
136,4,13.01343607
138,1,13.23038127
138,4,13.23033586
140,1, 
140,4,13.44558522
143,1,13.05839516
143,4,13.05458932
148,1,13.02732492
149,1,13.38319631
149,4,13.38323051
159,1,13.65487933
159,4,13.6137853
161,1,13.38093093
161,4,13.38092684
164,1,13.31218889
164,4,13.31281834
165,1,13.17026301
165,4,13.17039052
166,1,12.82484993
167,1,13.00837446
167,4,13.00827877
170,4,13.69779736
171,1,13.64101329
171,4,12.99256281
175,1,13.38630713
175,4,13.38942987
178,1,13.10700091
178,4,13.12739847
184,1,12.8881472
195,1,13.29856767
195,4,13.29856738
201,1, 
201,4, 
207,1,13.40451745
207,4,13.40451745
209,1,13.24931795
209,4,13.23748726
210,1,13.27173369
210,4,13.27172193
217,1,13.26833479
217,4,13.46076882
225,1,13.22776789
225,4,13.2293849
228,1,13.62080767
228,4,13.62080767
230,1,13.2329359
230,4,13.23340077
232,1,13.41820671
232,4,13.41820671
241,1,13.19122069
241,4,13.19145604
242,1,13.28699277
242,4,13.27422161
244,1,13.34808674
244,4,13.66533396
248,1,13.13532921
248,4,13.13134345
250,4,13.41063772
252,1,13.26810657
252,4,13.2958519
257,1,13.46027917
257,4,13.46016509
259,1,13.18920783
259,4,13.22218993
261,1,13.38895036
261,4,13.39168904
262,1,13.32999582
262,4,13.25780262
264,1,13.26386978
264,4,13.22819029
265,1,13.47104289
266,1,13.42709262
266,4,13.39369863
268,1,13.19751993
268,4,13.19738732
269,1,13.25717421
269,4,13.2139574
274,1,13.39665694
274,4,13.36683062
275,1,13.18145974
275,4,13.27866096
280,1,13.23313414
280,4,13.19555866
286,1,13.27343296
286,4,13.24909854
291,1,13.39768633
291,4,13.60164271
292,1,13.41594538
293,1,13.25129484
293,4,13.3094221
299,1,13.25406444
299,4,13.25427399
303,1,13.29800948
308,1,13.12525667
308,4,13.12525667
311,1,13.28952772
311,4,13.28952772
312,1,13.1996893
312,4,13.20073127
318,1,13.64898237
318,4,13.652303
324,1,13.23331597
324,4,13.18961103
326,1,13.15872975
326,4,13.15882089
333,1,13.1944523
333,4,13.18965685
338,1,13.27163488
338,4,13.27263002
353,1,13.783214
353,4,13.78322246
362,1,13.32663137
362,4,13.3257397
365,1,13.09030446
365,4,13.09038751
368,1,13.09889966
368,4,13.0988591
377,1,13.10232055
377,4,13.10191333
382,1,13.19427786
382,4,13.23269906
383,1,13.27696789
383,4,13.27788286
392,1,13.14820072
392,4,13.14557888
394,1,13.15839345
394,4,13.76394859
403,1,13.62354552
403,4,14.06160164
405,1,13.26209208
406,1,13.04042415
406,4,13.03903979
411,1, 
411,4, 
420,1,13.05771466
420,4,13.05766427
421,1,13.21733262
422,1,13.33668961
422,4,13.33893937
426,1,13.24962389
426,4,13.24604061
430,1,13.21644938
430,4,13.2053647
434,1,13.42642026
434,4,13.42642026
435,1,13.09072933
435,4,13.12421448
439,1,13.5175501
439,4,13.05731716
441,1,13.52886788
441,4,13.49839015
442,1,13.05502808
442,4,13.05432821
444,1,13.045859
444,4,13.045859
445,1,13.53956911
445,4,13.53998767
447,1,13.06819872
447,4,13.06954639
451,1,13.12635166
452,1,13.24605017
452,4,13.23849104
457,1,13.09877674
457,4,13.12384218
458,1,13.13560689
458,4,13.13476329
459,1,13.14829863
459,4,13.46019751
460,1,13.10097821
460,4,13.10082018
462,1,13.10179244
462,4,13.10199521
464,1,13.27650449
464,4,13.20284036
466,1,13.20389637
466,4,13.20384807
470,1,13.20261351
470,4,13.2023959
476,1,13.17325522
476,4,13.17335998
477,1,13.24909755
477,4,13.31724352
478,1,13.21327683
478,4,13.23833042
482,1,13.16182298
482,4,13.15341937
483,1,12.91170431
483,4, 
489,1,13.53374233
489,4,13.53376784
490,1,13.48480458
490,4,13.48487318
492,1,13.4082363
492,4,13.43507516
496,1,13.44114036
496,4,13.43293229
497,1,13.05723632
500,1,13.06382707
500,4,13.55928341
502,1,13.09036384
502,4,13.07648516
507,1,13.5723606
507,4,13.57498229
511,1,13.26214921
511,4,13.30869268
516,1,13.10438164
516,4,13.10431329
520,4,13.32590682
521,1,13.23575202
521,4,13.23784388
522,1,13.1509341
522,4,13.1537488
527,1,13.43271966
527,4,13.44475201
531,1,13.49070633
531,4,13.42495149
536,1,13.41273101
536,4,13.41273101
537,1,12.95710029
537,4,12.95709633
548,1,13.38118624
548,4,13.38123039
550,1,13.64084075
550,4,13.84333992
561,1,13.10690249
561,4,13.10689751
566,1,13.22542177
566,4,13.82176287
568,1,13.44049874
569,1,13.71766354
569,4,13.72350968
572,1,13.3641634
572,4,13.36998463
578,1,13.03601316
578,4,13.06722511
579,1,13.86626325
579,4,13.86610639
581,1,13.20501942
581,4,13.20592789
583,1,13.04887374
583,4,13.06321827
584,1,13.26938899
584,4,13.26888832
585,1,13.15649679
585,4,13.15925964
592,1,13.27090945
596,4,13.29709956
609,1,13.18601107
609,4,13.16478325
611,1,13.67008898
611,4,13.67008898
614,1,13.33444368
614,4,13.33146088
616,1, 
616,4, 
619,1,13.41463578
619,4,13.32095086
620,1,13.65092402
620,4,13.65092402
623,1,13.21959861
623,4,13.22122034
624,1,13.20523186
624,4,13.2050033
627,1,13.13983735
627,4,13.14063297
628,4,13.29950041
640,1,13.24362002
641,1,13.25851396
641,4,13.26951096
642,1,13.51676934
642,4,13.51676934
644,1,13.42154929
644,4,13.43590089
646,1,13.19735227
646,4,13.17287034
653,1,13.27981358
653,4,13.27926943
660,1,13.47653114
660,4,13.47929887
662,1,13.47043261
662,4,13.470407
663,1,13.43302513
663,4,13.44949711
664,1,13.45792437
664,4,13.55021298
667,1,13.41274156
667,4,13.15556202
668,1,13.60297729
668,4,13.6030907
673,1,13.2471301
673,4,13.24940084
677,1,13.90025144
693,1,13.312758
693,4,13.31143059
694,4,13.92536121
696,1,13.76421471
696,4,13.33737417
699,1,13.0856915
699,4,13.12658165
709,1,13.36650043
709,4,13.36672938
710,4,13.35094909
713,1,13.40824027
713,4,13.44945899
717,1,13.12354834
717,4,13.12355458
718,1,13.1538283
718,4,13.15458539
719,1,13.38632922
719,4,13.38604041
720,1,13.05439054
720,4,13.17770112
722,1,13.26081451
722,4,13.26599387
734,1,13.51565626
734,4,13.50699793
735,1,13.19491438
735,4,13.19477194
740,1,13.31742246
741,1,13.1616961
747,1,13.25708394
747,4,13.26556224
751,1,13.10143547
751,4,13.10122082
753,1,13.55783155
753,4,13.38377234
754,1,13.3203775
756,1,13.1921237
756,4,13.1921244
758,4,13.26906961
759,1,13.17501201
759,4,13.17501081
762,1,13.60337383
762,4,13.60350103
763,1,13.45746232
769,4,13.72056842
779,1,13.3890043
784,1,13.51840498
784,4,13.51899409
789,4,13.29940049
791,1,13.18910402
791,4,13.28486371
792,1,13.72625722
794,1,13.24024641
794,4,13.24024641
804,4,13.44081771
812,1,13.07709794
812,4,13.07719728
813,1,13.36490636
814,4,13.45256423
817,1,13.13739137
817,4,13.13773899
818,1,13.3913251
818,4,13.42391814
819,1,13.35361992
819,4,13.35311377
820,1,13.4053101
820,4,13.36973344
822,1,13.09611539
822,4,13.14299836
823,1,13.33754034
823,4,13.3068722
826,1,13.02996885
826,4,13.03030009
828,1,13.48239936
828,4,13.79430625
830,1,13.7095653
830,4,13.70956895
831,1,13.27378641
831,4,13.48740383
832,1,13.13156463
832,4,13.14337145
834,1,13.35653567
834,4,13.3429397
842,1,13.26857188
842,4,13.27202636
843,1,13.06296946
843,4,13.06290215
844,1,13.35093052
844,4,13.69339671
847,4,13.77409347
848,1,13.3698537
848,4,13.3706882
850,1,13.15438411
851,1,13.40295194
851,4,13.40304098
853,1,13.24085878
853,4,13.24086017
855,1,13.04385454
855,4,13.0518048
859,1,13.49283117
859,4,13.49280116
861,1,13.08827908
861,4,13.09080618
863,1,13.16551236
863,4,13.16997877
868,1,13.28241824
870,4,13.67580947
873,1,13.58247775
873,4,13.41546886
874,1,13.36657563
874,4,13.36656983
875,1,13.35616999
875,4,13.45722945
882,1,13.25586638
882,4,13.25518122
883,1,13.27928939
883,4,13.33385061
890,1,13.26497474
890,4,13.26524942
893,1,13.64010102
893,4,13.64010283
895,1,13.0221109
895,4,13.02189153
896,1,13.10725784
896,4,12.96445484
898,1,13.46201232
898,4,13.46201232
902,1,13.21102847
909,1,13.2078455
912,1,13.15916806
926,1,13.35100226
926,4,13.80280836
927,4,13.71484375
929,1,13.34501537
929,4,13.03955947
935,1,13.53045859
935,4,13.62080767
946,4,13.05531336
948,1,13.06090235
948,4,13.27172171
951,1,13.29072445
951,4,13.29302789
963,1,13.36697448
964,1,13.06597159
964,4,13.1150867
968,1,13.24117886
968,4,13.24201194
969,4,13.78908006
970,1,13.1839324
970,4,13.498542
971,1,13.77960301
971,4,13.77960301
972,1, 
972,4,13.47570157
981,1,13.32238193
981,4,13.32238193
982,1,13.11917903
982,4,13.11590536
985,1,13.09370681
985,4,13.07998159
993,1,13.81069647
993,4,13.80780408
996,1,13.49121039
996,4,13.49144026
999,1,13.00858662
999,4,12.94844985
1000,1,13.23397403
1000,4,13.19287509
1001,4,13.20636816
1007,1,13.05488516
1007,4,13.05497557
1013,1,13.16656831
1013,4,13.16679529
1016,1,13.88958958
1016,4,13.88169056
1017,1,13.03556912
1017,4,13.04185109
1018,1,13.60246986
1018,4,13.33140568
